ID,Facility Name,Province,Facility Type,District,sub District
2053,Mbadleni Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Jozini LM
2054,Mhlekazi Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Jozini LM
2055,Mkuze Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Jozini LM
2056,Mosvold Hosp,KwaZulu-Natal,District Hospital,Umkhanyakude DM,Jozini LM
2057,Ndumo Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Jozini LM
2058,Nkungwini Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Jozini LM
2059,Nondabuya Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Jozini LM
2060,Ophansi Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Jozini LM
2061,Ophondweni Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Jozini LM
2062,Shemula Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Jozini LM
2063,Dukuduku Sick Bay,KwaZulu-Natal,Clinic,Umkhanyakude DM,Mtubatuba LM
2064,Ezwenelisha Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Mtubatuba LM
2065,KwaMsane Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Mtubatuba LM
2066,Monzi Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Mtubatuba LM
2067,Mtubatuba Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Mtubatuba LM
2068,Mabibi Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,St Lucia Park DMA
2069,Ezimpondweni Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,The Big 5 LM
2070,Mduku Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,The Big 5 LM
2071,Mnqobokazi Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,The Big 5 LM
2072,Bhekabantu Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2073,KwaNdaba Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2074,KwaZibi Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2075,Madonela Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2076,Mahlungulu Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2077,Manaba Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2078,Manguzi Hosp,KwaZulu-Natal,District Hospital,Umkhanyakude DM,Umhlabuyalingana LM
2079,Mbazwana Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2080,Mboza Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2081,Mseleni Hosp,KwaZulu-Natal,District Hospital,Umkhanyakude DM,Umhlabuyalingana LM
2082,Mshudu Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2083,Mvelabusha Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2084,Ntshongwe Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2085,Oqondweni Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2086,Phelandaba Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2087,Thengane Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2088,Zama Zama Clinic,KwaZulu-Natal,Clinic,Umkhanyakude DM,Umhlabuyalingana LM
2089,Dundee CDC,KwaZulu-Natal,Clinic,Umzinyathi DM,Endumeni LM
2090,Dundee Hosp,KwaZulu-Natal,District Hospital,Umzinyathi DM,Endumeni LM
2091,Empathe Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Endumeni LM
2092,Glenridge Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Endumeni LM
2093,Rorke's Drift Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Endumeni LM
2094,Sakhimpilo Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Endumeni LM
2095,Siphimpilo Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Endumeni LM
2096,Springlake Coll Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Endumeni LM
2097,Wasbank Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Endumeni LM
2098,Church of Scotland Hosp,KwaZulu-Natal,District Hospital,Umzinyathi DM,Msinga LM
2099,Collessie Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2100,Cwaka Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2101,Douglas Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2102,Ethembeni Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2103,Gunjana Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2104,Mandleni Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2105,Mawele Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2106,Mazabeko Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2107,Mbangweni Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2108,Mhlangana Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2109,Mondi Enon Paper Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2110,Natal Tanning Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2111,Ngubevu Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2112,Nocomboshe Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2113,Noyibazi Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2114,Qinelani Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Msinga LM
2115,C Johnson Mem CDC,KwaZulu-Natal,Clinic,Umzinyathi DM,Nquthu LM
2116,C Johnson Mem Hosp,KwaZulu-Natal,District Hospital,Umzinyathi DM,Nquthu LM
2117,Felani Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Nquthu LM
2118,Hlathi Dam Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Nquthu LM
2119,Isandlwana Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Nquthu LM
2120,KwaNyezi Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Nquthu LM
2121,Mangeni Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Nquthu LM
2122,Masotsheni Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Nquthu LM
2123,Mkhonjane Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Nquthu LM
2124,Nkande Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Nquthu LM
2125,Nondweni Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Nquthu LM
2126,Ntinini Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Nquthu LM
2127,Amakhabela Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Umvoti LM
2128,Amatimatolo Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Umvoti LM
2129,Ehlanzeni Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Umvoti LM
2130,Eshane Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Umvoti LM
2131,Greytown Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Umvoti LM
2132,Greytown Hosp,KwaZulu-Natal,District Hospital,Umzinyathi DM,Umvoti LM
2133,Kranskop Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Umvoti LM
2134,Ntembisweni Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Umvoti LM
2135,Pine St (Greytown) Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Umvoti LM
2136,Sibuyane Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Umvoti LM
2137,Ukuthula Clinic,KwaZulu-Natal,Clinic,Umzinyathi DM,Umvoti LM
2138,Acaciavale Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2139,Driefontein Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2140,Ezakheni 2 Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2141,Ezakheni E Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2142,Frame Textile Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2143,Kleinfontein Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2144,Ladysmith HCC Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2145,Ladysmith Hosp,KwaZulu-Natal,Regional Hospital,Uthukela DM,Emnambithi LM
2146,Limit Hill Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2147,Matiwaneskop Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2148,Steadville Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2149,Tholusizo Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2150,Tugela Roadside Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2151,Walton Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2152,Watersmeet Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Emnambithi LM
2153,Injisuthi Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Imbabazane LM
2154,Madiba Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Imbabazane LM
2155,Ncibidwane Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Imbabazane LM
2156,Ntabamhlope Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Imbabazane LM
2157,Zwelisha Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Imbabazane LM
2158,Amakhasi Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Indaka LM
2159,Ekuvukeni Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Indaka LM
2160,Gcinalishone Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Indaka LM
2161,KwaMteyi Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Indaka LM
2162,Limehill Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Indaka LM
2163,Mhlumayo Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Indaka LM
2164,Rockcliff Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Indaka LM
2165,Sahlumbe Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Indaka LM
2166,Amazizi Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Okhahlamba LM
2167,Bergville Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Okhahlamba LM
2168,Busingatha Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Okhahlamba LM
2169,Cathkin Park Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Okhahlamba LM
2170,Dukuza Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Okhahlamba LM
2171,Emmaus Hosp,KwaZulu-Natal,District Hospital,Uthukela DM,Okhahlamba LM
2172,Oliviershoek Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Okhahlamba LM
2173,AE Haviland Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Umtshezi LM
2174,Connor Street Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Umtshezi LM
2175,Cornfields Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Umtshezi LM
2176,Estcourt Hosp,KwaZulu-Natal,District Hospital,Uthukela DM,Umtshezi LM
2177,Forderville Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Umtshezi LM
2178,KwaZamokuhle Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Umtshezi LM
2179,KwaZulu Shoe Co Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Umtshezi LM
2180,Wembezi Clinic,KwaZulu-Natal,Clinic,Uthukela DM,Umtshezi LM
2181,Cinci Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Mbonambi LM
2182,Dondotha Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Mbonambi LM
2183,KwaMbonambi Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Mbonambi LM
2184,Mandlanzini Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Mbonambi LM
2185,Nhlabane Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Mbonambi LM
2186,Ocilwane Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Mbonambi LM
2187,Sappi Clinic (Umbo),KwaZulu-Natal,Clinic,Uthungulu DM,Mbonambi LM
2188,Sokhulu Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Mbonambi LM
2189,KwaMagwaza Hosp,KwaZulu-Natal,District Hospital,Uthungulu DM,Mthonjaneni LM
2190,KwaYanguye Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Mthonjaneni LM
2191,Melmoth Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Mthonjaneni LM
2192,Ndundulu Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Mthonjaneni LM
2193,Chwezi Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2194,Ekhombe Hosp,KwaZulu-Natal,District Hospital,Uthungulu DM,Nkandla LM
2195,Esibhudeni Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2196,Ewangu Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2197,Halambu Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2198,Mabhuqweni Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2199,Malunga Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2200,Mandaba Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2201,Manyane Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2202,Mfongosi Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2203,Mpandleni,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2204,Mthungweni Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2205,Ndabaningi Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2206,Nkandla Hosp,KwaZulu-Natal,District Hospital,Uthungulu DM,Nkandla LM
2207,Nongamlane Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2208,Nxamalala Clinic (Esh),KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2209,Thalaneni Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2210,Vumanhlamvu Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2211,Xulu Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Nkandla LM
2212,Buchanana Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Ntambanana LM
2213,Luwamba Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Ntambanana LM
2214,Nomponjwana Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Ntambanana LM
2215,Ntambanana Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,Ntambanana LM
2216,Empangeni Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMhlathuze LM
2217,Khandisa Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMhlathuze LM
2218,L Umfolozi War Mem Hosp,KwaZulu-Natal,Provincial Tertiary Hospital,Uthungulu DM,uMhlathuze LM
2219,Mabamba Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMhlathuze LM
2220,Ngwelezana Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMhlathuze LM
2221,Ngwelezana Hosp,KwaZulu-Natal,Provincial Tertiary Hospital,Uthungulu DM,uMhlathuze LM
2222,Nseleni CHC,KwaZulu-Natal,Community Health Centre,Uthungulu DM,uMhlathuze LM
2223,Ntuze Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMhlathuze LM
2224,Phaphamani Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMhlathuze LM
2225,Richards Bay Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMhlathuze LM
2226,Thokozani Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMhlathuze LM
2227,C Booth Hosp,KwaZulu-Natal,District Hospital,Uthungulu DM,uMlalazi LM
2228,Ekuphumuleni Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2229,Ensingweni Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2230,Eshowe Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2231,Eshowe Hosp,KwaZulu-Natal,District Hospital,Uthungulu DM,uMlalazi LM
2232,Gezinsila Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2233,Gingindlovu Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2234,King Dinizulu Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2235,Mathungela Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2236,Mbongolwane Hosp,KwaZulu-Natal,District Hospital,Uthungulu DM,uMlalazi LM
2237,Mvutshini Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2238,Ndlangubo Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2239,Ngudwini Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2240,Nkwalini Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2241,Ntumeni Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2242,Osungulweni Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2243,Samungu Clinic,KwaZulu-Natal,Clinic,Uthungulu DM,uMlalazi LM
2244,Bhekezulu Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2245,Bhekumthetho Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2246,Gluckstadt Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2247,Hlobane Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2248,Khambi Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2249,Louwsburg Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2250,Makhwela Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2251,Mason Str Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2252,Mondlo 2 Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2253,Ntababomvu Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2254,Siyakhathala Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2255,Swart Mfolozi Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2256,Thembumusa Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2257,Vryheid Clinic,KwaZulu-Natal,Clinic,Zululand DM,Abaqulusi LM
2258,Vryheid Hosp,KwaZulu-Natal,District Hospital,Zululand DM,Abaqulusi LM
2259,Dumbe Clinic,KwaZulu-Natal,Clinic,Zululand DM,eDumbe LM
2260,eDumbe CHC,KwaZulu-Natal,Community Health Centre,Zululand DM,eDumbe LM
2261,Friesgewacht Clinic,KwaZulu-Natal,Clinic,Zululand DM,eDumbe LM
2262,Hartland Clinic,KwaZulu-Natal,Clinic,Zululand DM,eDumbe LM
2263,Luneburg Clinic,KwaZulu-Natal,Clinic,Zululand DM,eDumbe LM
2264,Ophuzana Clinic,KwaZulu-Natal,Clinic,Zululand DM,eDumbe LM
2265,Princess Mhlosheni Clinic,KwaZulu-Natal,Clinic,Zululand DM,eDumbe LM
2266,Benedictine Hosp,KwaZulu-Natal,District Hospital,Zululand DM,Nongoma LM
2267,Benedictine Res Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2268,Buxedene Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2269,Dengeni Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2270,Ekubungazeleni Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2271,Hlengimpilo Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2272,Mahashini Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2273,Maphophoma Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2274,Ngqeku Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2275,Njoko Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2276,Nkunzana Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2277,Nongoma Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2278,Sovane Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2279,Usuthu Clinic,KwaZulu-Natal,Clinic,Zululand DM,Nongoma LM
2280,Ceza Hosp,KwaZulu-Natal,District Hospital,Zululand DM,Ulundi LM
2281,Esidakeni Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2282,Ezimfabeni Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2283,Idlebe Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2284,KwaMame Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2285,Lomo Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2286,Mabedlane Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2287,Makhosini Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2288,Mdumezulu Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2289,Mpungamhlophe Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2290,Ncemaneni Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2291,Nhlungwana Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2292,Nkonjeni Hosp,KwaZulu-Natal,District Hospital,Zululand DM,Ulundi LM
2293,Sizana Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2294,St Francis Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2295,Stedham Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2296,Twasana Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2297,Ulundi A Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2298,Wela Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2299,Zilulwane Clinic,KwaZulu-Natal,Clinic,Zululand DM,Ulundi LM
2300,Altona Clinic,KwaZulu-Natal,Clinic,Zululand DM,uPhongolo LM
2301,Emkhwakhweni Clinic,KwaZulu-Natal,Clinic,Zululand DM,uPhongolo LM
2302,Itshelejuba Hosp,KwaZulu-Natal,District Hospital,Zululand DM,uPhongolo LM
2303,KwaNkundla Clinic,KwaZulu-Natal,Clinic,Zululand DM,uPhongolo LM
2304,KwaShoba Clinic,KwaZulu-Natal,Clinic,Zululand DM,uPhongolo LM
2305,Ncotshane Clinic,KwaZulu-Natal,Clinic,Zululand DM,uPhongolo LM
2306,Pongola Clinic,KwaZulu-Natal,Clinic,Zululand DM,uPhongolo LM
2307,Qalukubheka Clinic,KwaZulu-Natal,Clinic,Zululand DM,uPhongolo LM
2308,Tobolsk Clinic,KwaZulu-Natal,Clinic,Zululand DM,uPhongolo LM
2309,Diana,Limpopo,Clinic,Capricorn DM,Aganang LM
2310,Goedgevonden Clinic,Limpopo,Clinic,Capricorn DM,Aganang LM
2311,Lonsdale,Limpopo,Clinic,Capricorn DM,Aganang LM
2312,Maraba,Limpopo,Clinic,Capricorn DM,Aganang LM
2313,Mashashane,Limpopo,Clinic,Capricorn DM,Aganang LM
2314,Matlala Clinic (Aga),Limpopo,Clinic,Capricorn DM,Aganang LM
2315,Persie,Limpopo,Clinic,Capricorn DM,Aganang LM
2316,Rosenkrantz Clinic,Limpopo,Clinic,Capricorn DM,Aganang LM
2317,Schoongezight,Limpopo,Clinic,Capricorn DM,Aganang LM
2318,Sello-Moloto,Limpopo,Clinic,Capricorn DM,Aganang LM
2319,WF Knobel Gateway,Limpopo,Clinic,Capricorn DM,Aganang LM
2320,WF Knobel Hosp,Limpopo,District Hospital,Capricorn DM,Aganang LM
2321,Alldays Clinic,Limpopo,Clinic,Capricorn DM,Blouberg LM
2322,Ambergate Clinic,Limpopo,Clinic,Capricorn DM,Blouberg LM
2323,Blouberg CHC,Limpopo,Community Health Centre,Capricorn DM,Blouberg LM
2324,Bloubrg Gateway,Limpopo,Clinic,Capricorn DM,Blouberg LM
2325,Buffelshoek (Bloub),Limpopo,Clinic,Capricorn DM,Blouberg LM
2326,Burgerecht Clinic,Limpopo,Clinic,Capricorn DM,Blouberg LM
2327,De Vrede,Limpopo,Clinic,Capricorn DM,Blouberg LM
2328,Gideon Clinic,Limpopo,Clinic,Capricorn DM,Blouberg LM
2329,Goedentrou,Limpopo,Clinic,Capricorn DM,Blouberg LM
2330,Grootdraai Clinic,Limpopo,Clinic,Capricorn DM,Blouberg LM
2331,Helene Franz Gateway,Limpopo,Clinic,Capricorn DM,Blouberg LM
2332,Helene Franz Hosp,Limpopo,District Hospital,Capricorn DM,Blouberg LM
2333,Helene Franz School,Limpopo,Clinic,Capricorn DM,Blouberg LM
2334,Indermark,Limpopo,Clinic,Capricorn DM,Blouberg LM
2335,Kibi,Limpopo,Clinic,Capricorn DM,Blouberg LM
2336,Krantzplaas,Limpopo,Clinic,Capricorn DM,Blouberg LM
2337,Kromhoek,Limpopo,Clinic,Capricorn DM,Blouberg LM
2338,Lesfontein,Limpopo,Clinic,Capricorn DM,Blouberg LM
2339,Montz,Limpopo,Clinic,Capricorn DM,Blouberg LM
2340,My Darling,Limpopo,Clinic,Capricorn DM,Blouberg LM
2341,Ratshaatshaa,Limpopo,Community Health Centre,Capricorn DM,Blouberg LM
2342,Seakamela,Limpopo,Clinic,Capricorn DM,Blouberg LM
2343,Taaibos,Limpopo,Clinic,Capricorn DM,Blouberg LM
2344,Towerfontein,Limpopo,Clinic,Capricorn DM,Blouberg LM
2345,Zeist Clinic,Limpopo,Clinic,Capricorn DM,Blouberg LM
2346,Boschplaats,Limpopo,Clinic,Capricorn DM,Lepelle-Nkumpi LM
2347,Byldrift,Limpopo,Clinic,Capricorn DM,Lepelle-Nkumpi LM
2348,Dithabaneng,Limpopo,Clinic,Capricorn DM,Lepelle-Nkumpi LM
2349,Dr Machupe Gateway,Limpopo,Clinic,Capricorn DM,Lepelle-Nkumpi LM
2350,Dr Machupe Mem Hosp,Limpopo,District Hospital,Capricorn DM,Lepelle-Nkumpi LM
2351,Lebowakgomo Clinic,Limpopo,Clinic,Capricorn DM,Lepelle-Nkumpi LM
2352,Lebowakgomo Hosp,Limpopo,District Hospital,Capricorn DM,Lepelle-Nkumpi LM
